"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate","createdby"
"Bhubaneswar","BP-BMC-2022-06-11-004604","BPA1","2022-06-11","2022-06-12","APPROVAL_INPROGRESS",NULL,NULL,"65a07334-9279-490f-b2d6-1517b24898c0"
"Khordha","BP-KHU-2022-07-07-005881","BPA2","2022-07-07",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"d29f71e6-4b6c-49e2-8451-561fa43bf4fe"
"Bhubaneswar","BP-BMC-2022-04-07-002337","BPA2","2022-04-07","2022-04-08","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL,"0ab33c0f-8b61-47c1-8ac0-72087784baef"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-07-06-005837","BPA1","2022-07-06","2022-07-15","FIELDINSPECTION_INPROGRESS",NULL,NULL,"223d99d5-f237-43d5-b1dc-4824dca4f3ca"
"Bhubaneswar","BP-BMC-2022-05-19-003720","BPA1","2022-05-19","2022-05-20","APPROVED","BP/BMC/000432","2022-07-23","d29f71e6-4b6c-49e2-8451-561fa43bf4fe"
"Berhampur","BP-BAM-2022-06-21-004932","BPA1","2022-06-21","2022-06-21","APPROVED","BP/BAM/000337","2022-07-11","9c00d59a-d3ef-4671-9885-24d549d99639"
"Bhubaneswar","BP-BMC-2022-03-08-001473","BPA1","2022-03-08","2022-03-08","APPROVAL_INPROGRESS",NULL,NULL,"a38a5e5b-48a9-4463-9870-180fce189220"
"Bhubaneswar","BP-BMC-2022-07-19-006295","BPA1","2022-07-19",NULL,"PENDING_APPL_FEE",NULL,NULL,"28c9f5be-f413-43b2-b68b-42c9825f916a"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-07-15-006155","BPA1","2022-07-15","2022-07-15","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL,"f999af3a-ce00-484a-b770-f593f3e28f36"
"Bhubaneswar","BP-BMC-2022-07-05-005768","BPA1","2022-07-05","2022-07-13","FIELDINSPECTION_INPROGRESS",NULL,NULL,"abe089a8-6fc1-42e7-95c7-07ef9dbac41f"
"Bhubaneswar","BP-BMC-2022-07-15-006153","BPA1","2022-07-15","2022-07-15","FIELDINSPECTION_INPROGRESS",NULL,NULL,"715c05d5-ad94-420c-9a86-8f6b7fb901b5"
"Bhubaneswar","BP-BMC-2022-04-09-002388","BPA1","2022-04-09","2022-07-20","APPROVAL_INPROGRESS",NULL,NULL,"28c9f5be-f413-43b2-b68b-42c9825f916a"
"Bhubaneswar","BP-BMC-2022-05-30-003867","BPA1","2022-05-30","2022-05-31","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL,"01fb12ac-cac4-4ef5-b908-d5df020d0097"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-07-20-006361","BPA4","2022-07-20","2022-07-20","DOC_VERIFICATION_INPROGRESS",NULL,NULL,"74f05717-56d7-40d3-a07a-292b257cc0e4"
"Bhubaneswar","BP-BMC-2022-03-04-001373","BPA2","2022-03-04","2022-03-05","APPROVED","BP/BMC/000420","2022-07-22","7ac2082c-09be-46cd-9fc2-24b7ba6baa1e"
"Berhampur","BP-BAM-2022-06-01-003942","BPA1","2022-06-01","2022-06-01","PENDING_SANC_FEE_PAYMENT",NULL,NULL,"f236e7f3-dcb1-41f2-9e3e-656e34abac36"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-12-002491","BPA1","2022-04-12","2022-04-23","PENDING_SANC_FEE_PAYMENT",NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c"
"Bhubaneswar","BP-BMC-2022-07-05-005795","BPA1","2022-07-05","2022-07-07","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL,"a3592dd9-525e-46f2-9cf8-4b7dd3a9e187"
